Vatten_ID,EU_CD,County,County_no
WA88478070,SE728058-167280,Norrbotten,25
WA88484490,SE615625-134326,Skåne,12
WA88486633,SE733209-147307,Västerbotten,24
WA88495567,SE666655-152340,Dalarna,20
WA88498008,SE745825-173497,Norrbotten,25
WA88501688,SE716906-142663,Jämtland,23
WA88511866,SE689255-144097,Jämtland,23
WA88512019,SE742093-184776,Norrbotten,25
WA88513526,SE724928-668250,Västerbotten,24
WA88515783,SE715443-148885,Västerbotten,24
WA88517466,SE672274-414394,Dalarna,20
WA88519587,SE651559-130704,Västra Götaland,14
WA88521562,SE693023-138213,Jämtland,23
WA88522563,SE692605-138798,Jämtland,23
WA88525855,SE686323-139422,Jämtland,23
WA88530572,SE751576-170276,Norrbotten,25
WA88535829,SE735932-161021,Norrbotten,25
WA88544844,SE653051-158436,Södermanland,04
WA88564674,SE753183-182201,Norrbotten,25
WA88568264,SE715968-147506,Jämtland,23
WA88570189,SE726286-165122,Norrbotten,25
WA88571510,SE716753-147722,Västerbotten,24
WA88571510,SE716753-147722,Jämtland,23
WA88574349,SE674542-139858,Dalarna,20
WA88586920,SE646790-139682,Västra Götaland,14
WA88597698,SE694385-148516,Västernorrland,22
WA88600522,SE683417-542398,Gävleborg,21
WA88602120,SE743267-159002,Norrbotten,25
WA88606464,SE632241-533347,Kronoberg,07
WA88608125,SE697166-134077,Jämtland,23
WA88609040,SE737425-181121,Norrbotten,25
WA88611708,SE615816-139496,Skåne,12
WA88612510,SE712280-156074,Västerbotten,24
WA88614086,SE706489-165509,Västernorrland,22
WA88615242,SE688251-146545,Jämtland,23
WA88617232,SE704550-133310,Jämtland,23
WA88619701,SE665161-153701,Västmanland,19
WA88625540,SE661749-566257,Västmanland,19
WA88632596,SE708865-169632,Västerbotten,24
WA88634928,SE672537-140187,Dalarna,20
WA88641020,SE642883-145314,Jönköping,06
WA88641020,SE642883-145314,Östergötland,05
WA88647342,SE675426-137732,Dalarna,20
WA88649535,SE703284-159266,Västernorrland,22
WA88651231,SE732105-158397,Norrbotten,25
WA88652713,SE704161-602498,Västernorrland,22
WA88653778,SE722110-162233,Västerbotten,24
WA88653950,SE701251-148796,Jämtland,23
WA88659701,SE710037-162277,Västerbotten,24
WA88661500,SE719816-753675,Västerbotten,24
WA88669626,SE709520-165645,Västerbotten,24
WA88680961,SE709632-139506,Jämtland,23
WA88682878,SE654278-129338,Västra Götaland,14
WA88686368,SE690337-139022,Jämtland,23
WA88701014,SE692195-138223,Jämtland,23
WA88702433,SE694826-141487,Jämtland,23
WA88702994,SE708364-168681,Västerbotten,24
WA88713498,SE754214-172747,Norrbotten,25
WA88721405,SE682954-147776,Gävleborg,21
WA88723752,SE645695-154680,Östergötland,05
WA88723799,SE732371-163374,Norrbotten,25
WA88728021,SE752759-159666,Norrbotten,25
WA88728993,SE735792-163721,Norrbotten,25
WA88741246,SE715084-169045,Västerbotten,24
WA88743235,SE675457-563389,Dalarna,20
WA88743235,SE675457-563389,Gävleborg,21
WA88756648,SE712143-165015,Västerbotten,24
WA88768452,SE705752-547125,Västernorrland,22
WA88768837,SE694848-149755,Västernorrland,22
WA88783528,SE741304-155507,Norrbotten,25
WA88787106,SE685481-365819,Dalarna,20
WA88797133,SE692111-157577,Västernorrland,22
WA88802249,SE750294-153224,Norrbotten,25
WA88804520,SE717319-174479,Västerbotten,24
